Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Publication Date
222,Semiconductor Company (C),IBM,"xSeries x3450 Cluster Xeon quad core, 3.0 GHz, GigEthernet",United States,2008,3784,18522.1,45408.0,0,0,152.07,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,xSeries x3450 Cluster Xeon quad core,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
223,Semiconductor Company (C),IBM,"xSeries x3450 Cluster Xeon quad core, 3.0 GHz, GigEthernet",United States,2008,3784,18522.1,45408.0,0,0,152.07,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,xSeries x3450 Cluster Xeon quad core,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
224,Semiconductor Company (C),IBM,"xSeries x3450 Cluster Xeon quad core, 3.0 GHz, GigEthernet",United States,2008,3784,18522.1,45408.0,0,0,152.07,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,xSeries x3450 Cluster Xeon quad core,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
225,"Supercomputing and Visualization in Paralel Laboratory, Universidad Autonoma Metropolitana",LUFAC Computacion SA de CV,"Lufac Cluster, Intel Xeon E54xx 3.0 Ghz, Infiniband",Mexico,2008,2120,18480.0,25440.0,670720,473600,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,Lufac Cluster,Lufac Intel Cluster,Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Central America,Americas,11/2008
226,Financial Institution (M),Hewlett-Packard,"Cluster Platform 3000 BL680c, Xeon 73xx 2.4 Ghz, GigabitEth",United States,2008,3584,18436.1,34406.4,0,0,0.0,Intel EM64T,Intel EM64T Xeon 73xx (Tigerton),2400,HP Cluster Platform 3000BL,Cluster Platform 3000 BL680c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
227,Financial Institution (M),Hewlett-Packard,"Cluster Platform 4000 BL465c, Opteron DC 2.6GHz, GigEthernet",United States,2008,6608,18431.3,34361.6,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
228,Gaming,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",France,2008,3592,18313.1,43104.0,0,0,142.49,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Gaming,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,11/2008
229,Gaming,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",France,2008,3592,18313.1,43104.0,0,0,142.49,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Gaming,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,11/2008
230,IT Service Provider (C),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon L54xx 2.5 GHz, GigEthernet",United States,2008,3408,18273.2,34080.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
231,IT Service Provider (C),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon L54xx 2.5 GHz, GigEthernet",United States,2008,3408,18273.2,34080.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
232,Food Industry,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.66GHz, GigEthernet",France,2008,3200,18270.2,34048.6,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,11/2008
233,Logistic Services (D),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.66GHz, GigEthernet",Germany,2008,3200,18270.2,34048.6,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,11/2008
234,Cambridge University,ClusterVision/Dell,"PowerEdge 1950, 3.0 GHz, Infinipath",United Kingdom,2006,2340,18270.0,28080.0,713000,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,Dell PowerEdge Cluster,PowerEdge 1955,Linux,Cluster,Academic,Research,Infiniband,InfiniPath,Northern Europe,Europe,11/2008
235,Lawrence Livermore National Laboratory,Appro International,Appro Xtreme Server - Quad Opteron Dual Core 2.4GHz Infiniband,United States,2007,4608,18240.0,22118.0,638400,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,Appro HyperBlade,Appro XtremeServers,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband DDR,North America,Americas,11/2008
236,Automotive Company (),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, Infiniband",United Kingdom,2008,2016,18089.1,24192.0,0,0,79.97,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband,Northern Europe,Europe,11/2008
237,Financial Institution,IBM,"xSeries x3550 Cluster Xeon quad core 3.0 GHz, Infiniband",United States,2008,2016,18089.1,24192.0,0,0,126.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,xSeries x3550 Cluster Xeon quad core HT,Linux,Cluster,Industry,Finance,Infiniband,Infiniband,North America,Americas,11/2008
238,IT Services Provider (C),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon E54xx 2.83 GHz, GigEthernet",Sweden,2008,2960,17996.0,33507.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,11/2008
239,IT Service Provider (C),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.5 GHz, GigEthernet",United States,2008,3352,17976.6,33520.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2500,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
240,Financial Services (M),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2008,2768,17902.2,33216.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
241,Government,IBM,"xSeries x3650 Cluster Xeon dual core 2.66 GHz, GigEthernet",United States,2008,3224,17874.0,34393.6,0,0,320.79,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,IBM Cluster,xSeries x3650 Cluster Xeon dual core,Linux,Cluster,Government,Database,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
242,Government,IBM,"xSeries x3650 Cluster Xeon dual core 2.66 GHz, GigEthernet",United States,2008,3224,17874.0,34393.6,0,0,320.79,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,IBM Cluster,xSeries x3650 Cluster Xeon dual core,Linux,Cluster,Government,Database,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
243,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 52xx 2.6 GHz, GigEthernet",United States,2008,3112,17820.3,33198.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon 52xx (Wolfdale),2667,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
244,Semiconductor Company (C),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3.0 GHz, GigEthernet",United States,2008,3672,17786.2,44064.0,0,0,342.6,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
245,Semiconductor Company (C),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3.0 GHz, GigEthernet",United States,2008,3672,17786.2,44064.0,0,0,342.6,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
246,Idaho National Laboratory,SGI,"SGI Altix ICE 8200, 2.66 GHz",United States,2007,2048,17780.0,21791.0,703872,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas,11/2008
247,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.6 GHz, GigEthernet",China,2008,3096,17683.2,32941.4,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,11/2008
248,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.6 GHz, GigEthernet",Italy,2008,3096,17683.2,32941.4,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Southern Europe,Europe,11/2008
249,Financial Institution (M),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.83 GHz, GigEthernet",United States,2008,2904,17659.3,32873.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
250,Financial Institution (M),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.83 GHz, GigEthernet",United States,2008,2904,17659.3,32873.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
251,Food Industry,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United Kingdom,2008,2704,17567.1,32448.0,0,0,301.2,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Retail,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,11/2008
252,IT Services Provider (C),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",Sweden,2008,2704,17567.1,32448.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,11/2008
253,University of Utah,Sun Microsystems,"SunBlade x2250, Xeon E5420 2.8GHz, InfiniPath",United States,2008,2048,17520.0,23183.0,672000,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,Sun Blade System,Sun Blade x2250,Linux,Cluster,Academic,Research,Infiniband,InfiniPath,North America,Americas,11/2008
254,Semiconductor Company (Q),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2008,2688,17482.8,32256.0,0,0,299.42,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
255,Semiconductor Company (Q),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2008,2688,17482.8,32256.0,0,0,299.42,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
256,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2008,3376,17364.8,40512.0,0,0,133.93,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
257,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2008,3376,17364.8,40512.0,0,0,133.93,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
258,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2008,3376,17364.8,40512.0,0,0,133.93,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
259,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2008,3376,17364.8,40512.0,0,0,133.93,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
260,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2008,3376,17364.8,40512.0,0,0,133.93,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
261,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2008,3376,17364.8,40512.0,0,0,133.93,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
262,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2008,3376,17364.8,40512.0,0,0,133.93,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
263,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2008,3376,17364.8,40512.0,0,0,133.93,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
264,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2008,3376,17364.8,40512.0,0,0,133.93,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
265,Universitaet Mainz,Hewlett-Packard,"Cluster Platform 3000 DL160, Xeon 54xx 2.8 GHz, Infiniband",Germany,2008,2000,17360.0,22400.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,HP Cluster Platform 3000,HP DL160 Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,Western Europe,Europe,11/2008
266,Petro China,IBM,"BladeCenter HS21 Cluster, Xeon QC 2.33 GHz, GigEthernet",China,2008,4048,17355.8,37775.9,0,0,162.7,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,"BladeCenter HS21 Cluster, CT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,11/2008
267,University of Minnesota,SGI,"SGI Altix XE 1300 Cluster Solutions, 2.66GHZ, Infiniband",United States,2007,2048,17310.0,21791.0,638448,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,SGI Altix,SGI Altix XE 1300,SUSE Linux Enterprise Server 10,MPP,Academic,Not Specified,Infiniband,Infiniband DDR,North America,Americas,11/2008
268,Software Company (M),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon E54xx 2.33 GHz, GigEthernet",United States,2008,3456,17267.4,32209.9,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Software,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
269,Financial Services (M),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2008,2640,17228.3,31680.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
270,Life Science (C),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",United States,2008,3540,17146.9,33035.3,0,0,284.5,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Life Science,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
271,ENEA,IBM,"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",Italy,2008,2504,17140.0,23337.0,720000,0,100.64,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,"BladeCenter HS21 Cluster, CT Xeon quad core",Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,Southern Europe,Europe,11/2008
272,"NanJing Institute of Geophysical Prospecting, PEPRIS, SINOPEC",IBM,"BladeCenter HS21 Cluster, Xeon quad core 2.66 GHz, Infiniband",China,2008,2048,17133.6,21848.1,0,0,95.54,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,IBM Cluster,"BladeCenter HS21 Cluster, CT Xeon quad core",Linux,Cluster,Research,Geophysics,Infiniband,Infiniband,Eastern Asia,Asia,11/2008
273,University of Southern California,Sun Microsystems,"Opteron, Xeon Cluster, Myrinet",United States,2007,6024,17110.0,23680.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2000,NOW - mixed processors,"Opteron, Xeon Cluster",Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas,11/2008
274,Ohio Supercomputer Center,IBM,"xSeries x3455 Cluster Opteron, 2.6 GHz, Infiniband",United States,2007,4144,17100.0,21550.0,670000,0,404.04,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,IBM Cluster,xSeries x3455 Cluster Opteron,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas,11/2008
275,Financial Services (O),IBM,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",United Kingdom,2008,3528,17088.8,37636.7,0,0,329.16,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,11/2008
276,Pittsburgh Supercomputing Center,Cray Inc.,"Cray XT3, 2.6 GHz dual Core",United States,2006,4136,17000.0,21507.2,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,Cray XT,Cray XT3,UNICOS/SUSE Linux,MPP,Academic,Not Specified,Cray Interconnect,XT3 Internal Interconnect,North America,Americas,11/2008
277,KISTI Supercomputing Center,Sun Microsystems,"Sun Blade 6000, Opteron QC 2.0 GHz, Infiniband 4x","Korea, South",2008,3072,16990.0,24576.0,854784,0,129.6,AMD x86_64,AMD x86_64 Opteron Quad Core,2000,Sun Blade System,Sun Blade 6000,Linux,Cluster,Research,Not Specified,Infiniband,Infinband DDR 4x,Eastern Asia,Asia,11/2008
278,Energy Company (A),IBM,"BladeCenter LS21, Opteron Dual Core 2.6 GHz, Infiniband",Italy,2008,4096,16906.0,21299.2,0,0,290.37,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,IBM Cluster,BladeCenter LS21 CLuster,Linux,Cluster,Industry,Energy,Infiniband,Infiniband,Southern Europe,Europe,11/2008
279,"Center for High-End Computer Systems, Virginia Tech",Self-made,"Apple Mac Pro Cluster, E54xx 2.8 Ghz, Infiniband",United States,2008,2048,16870.0,22937.0,480000,76000,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,NOW - Intel,Apple Mac Pro Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas,11/2008
280,Data Processing,IBM,"xSeries x3550 Cluster Xeon QC, 2.333 GHz, GigEthernet",United States,2008,3688,16854.6,34416.4,0,0,203.32,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,xSeries x3550 Cluster Xeon quad core CT,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
281,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon E54xx 2.33 GHz, GigEthernet",China,2008,3360,16793.7,31315.2,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,11/2008
282,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon E54xx 2 GHz, GigEthernet",China,2008,3920,16782.6,31360.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,11/2008
283,Computacenter,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 51xx 2.66GHz, GigEthernet",United Kingdom,2008,2928,16778.2,31235.9,0,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,11/2008
284,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.33 GHz, GigEthernet",Sweden,2008,3352,16754.2,31240.6,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,11/2008
285,Colorado School of Mines/Golden Energy Computing Organization,Dell,"PowerEdge 1950, Xeon 53xx 2.66 GHz, Infiniband",United States,2008,2030,16700.0,21680.0,675000,0,128.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,Energy,Infiniband,Infiniband DDR,North America,Americas,11/2008
286,Weather Forcasting (W),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",France,2008,2540,16691.3,30480.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Research,Weather and Climate Research,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,11/2008
287,NCSA,Dell,"PowerEdge 1955, 2.66 GHz, Infiniband",United States,2007,2048,16680.0,21300.0,650000,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,Dell PowerEdge Cluster,PowerEdge 1955,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas,11/2008
288,Texas Tech University,Dell,"PowerEdge 1950, Quad Core 3.2 GHz, Infiniband",United States,2008,1680,16680.0,20106.0,640000,0,0.0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,Dell PowerEdge Cluster,PowerEdge 1950,CentOS,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,North America,Americas,11/2008
289,Software Company (M),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon L54xx 2.33 GHz, GigEthernet",United States,2008,3328,16635.8,31017.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Software,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
290,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2008,3200,16592.2,38400.0,0,0,126.94,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
291,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2008,3200,16592.2,38400.0,0,0,126.94,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
